,Unnamed: 0,Article,Sentence,Sentence Position,Sentence Length,Numeric Data,Thematic Words,Entropy,POS tags,TF-ISF,Aggregate Score,Busy Path,Title,Label
1569,1569,A96,S1,0.98,0.67,0.0,0.25,0.25,0.22,0.17,0.88,0.71,0.12,0.895
1570,1570,A96,S2,0.96,0.91,0.0,0.47,0.41,0.54,0.43,0.94,0.56,0.5,0.916
1571,1571,A96,S3,0.94,0.91,0.0,0.53,0.31,0.47,0.43,0.99,0.4,0.38,0.902
1572,1572,A96,S4,0.92,0.76,0.0,0.4,0.45,0.27,0.2,0.92,0.61,0.25,0.896
1573,1573,A96,S5,0.9,0.81,0.0,0.47,0.46,0.34,0.23,0.95,0.53,0.75,1.0
1574,1574,A96,S6,0.88,0.67,0.0,0.23,0.19,0.15,0.2,0.91,0.62,0.0,1.0
1575,1575,A96,S7,0.86,0.74,0.0,0.33,0.23,0.23,0.26,0.99,0.46,0.12,0.902
1576,1576,A96,S8,0.84,0.56,0.0,0.12,0.14,0.08,0.07,0.66,0.9,0.0,0.857
1577,1577,A96,S9,0.81,0.87,0.0,0.53,0.47,0.33,0.36,0.96,0.4,0.38,0.914
1578,1578,A96,S10,0.79,0.8,0.0,0.38,0.37,0.28,0.29,0.94,0.48,0.38,0.891
1579,1579,A96,S11,0.77,0.81,0.0,0.42,0.41,0.36,0.27,0.97,0.51,0.38,0.909
1580,1580,A96,S12,0.75,0.59,0.0,0.07,0.11,0.14,0.14,0.73,0.88,0.0,0.87
1581,1581,A96,S13,0.73,0.91,0.0,0.57,0.49,0.69,0.69,0.88,0.62,0.75,0.915
1582,1582,A96,S14,0.71,0.69,0.0,0.28,0.24,0.19,0.18,0.92,0.63,0.12,0.892
1583,1583,A96,S15,0.69,0.76,0.0,0.82,0.85,0.75,0.82,0.8,0.89,0.25,0.89
1584,1584,A96,S16,0.67,0.8,0.0,0.35,0.28,0.37,0.32,0.97,0.45,0.5,0.895
1585,1585,A96,S17,0.65,0.83,0.0,0.45,0.32,0.39,0.33,0.99,0.4,0.25,0.889
1586,1586,A96,S18,0.63,0.74,0.0,0.9,0.7,0.87,0.86,0.77,0.9,1.0,0.914
1587,1587,A96,S19,0.61,0.61,0.0,0.97,1.0,0.9,0.93,0.81,0.94,0.88,0.919
1588,1588,A96,S20,0.59,0.63,0.0,0.2,0.18,0.15,0.14,0.81,0.8,0.0,0.9
1589,1589,A96,S21,0.57,0.96,0.0,0.62,0.57,0.6,0.54,0.88,0.69,0.25,0.902
1590,1590,A96,S22,0.55,0.94,0.3333333333333333,0.55,0.56,0.42,0.44,0.9,0.65,0.12,0.905
1591,1591,A96,S23,0.53,0.76,0.0,0.38,0.3,0.23,0.25,0.94,0.49,0.12,0.904
1592,1592,A96,S24,0.51,0.69,0.0,0.12,0.14,0.23,0.26,0.94,0.55,0.0,0.869
1593,1593,A96,S25,0.48,0.54,0.0,1.0,0.95,1.0,1.0,0.7,0.94,0.38,0.9
1594,1594,A96,S26,0.46,0.7,0.0,0.28,0.29,0.2,0.19,0.9,0.67,0.0,0.897
1595,1595,A96,S27,0.44,0.8,0.0,0.85,0.85,0.83,0.74,0.77,0.84,0.62,0.91
1596,1596,A96,S28,0.42,0.93,0.0,0.5,0.37,0.41,0.48,0.93,0.47,0.12,0.908
1597,1597,A96,S29,0.4,0.89,0.0,0.53,0.47,0.34,0.39,0.95,0.45,0.0,0.892
1598,1598,A96,S30,0.38,0.78,0.0,0.35,0.26,0.28,0.37,0.97,0.41,0.0,0.878
1599,1599,A96,S31,0.36,0.65,0.0,0.17,0.18,0.18,0.19,0.87,0.72,0.12,0.865
1600,1600,A96,S32,0.34,0.91,1.0,0.6,0.53,0.49,0.78,0.87,0.72,0.25,0.91
1601,1601,A96,S33,0.32,0.83,0.0,0.35,0.36,0.37,0.41,0.91,0.62,0.0,0.89
1602,1602,A96,S34,0.3,0.94,0.3333333333333333,0.65,0.5,0.46,0.58,0.83,0.75,0.25,0.91
1603,1603,A96,S35,0.28,0.7,0.0,0.33,0.29,0.2,0.21,0.98,0.46,0.0,0.899
1604,1604,A96,S36,0.26,0.98,0.0,0.53,0.57,0.47,0.56,0.86,0.71,0.38,0.898
1605,1605,A96,S37,0.24,0.8,0.0,0.35,0.32,0.31,0.27,0.96,0.45,0.75,0.92
1606,1606,A96,S38,0.22,0.8,0.0,0.82,0.74,0.7,0.76,0.77,0.9,0.38,0.925
1607,1607,A96,S39,0.2,0.76,0.3333333333333333,0.3,0.3,0.28,0.29,0.96,0.48,0.0,0.878
1608,1608,A96,S40,0.18,0.8,0.0,0.38,0.28,0.32,0.33,0.96,0.47,0.12,0.894
1609,1609,A96,S41,0.15,0.91,0.0,0.55,0.57,0.46,0.34,0.92,0.58,0.38,0.93
1610,1610,A96,S42,0.13,0.96,0.3333333333333333,0.62,0.59,0.42,0.48,0.93,0.52,0.62,0.922
1611,1611,A96,S43,0.11,0.76,0.0,0.33,0.34,0.26,0.28,0.97,0.44,0.12,0.879
1612,1612,A96,S44,0.09,0.81,0.0,0.42,0.41,0.25,0.3,1.0,0.31,0.12,0.892
1613,1613,A96,S45,0.07,0.93,0.0,0.6,0.66,0.38,0.38,0.93,0.55,0.0,0.897
1614,1614,A96,S46,0.05,0.67,0.0,0.25,0.24,0.21,0.16,0.88,0.69,0.25,0.912
1615,1615,A96,S47,0.03,0.89,0.0,0.42,0.43,0.37,0.39,0.93,0.56,0.12,0.897
1616,1616,A96,S48,0.01,0.74,0.0,0.85,0.89,0.74,0.79,0.75,0.84,0.12,0.906
1617,1617,A96,S49,0.01,0.74,0.0,0.33,0.32,0.32,0.24,0.95,0.52,0.12,0.9
1618,1618,A96,S50,0.03,0.67,0.0,0.2,0.24,0.23,0.18,0.89,0.69,0.0,0.886
1619,1619,A96,S51,0.05,0.61,0.0,0.15,0.12,0.15,0.14,0.77,0.86,0.0,0.863
1620,1620,A96,S52,0.07,0.83,0.3333333333333333,0.7,0.64,0.76,0.66,0.81,0.85,0.38,0.911
1621,1621,A96,S53,0.09,0.72,0.3333333333333333,0.28,0.27,0.26,0.22,0.89,0.7,0.12,0.883
1622,1622,A96,S54,0.11,0.78,0.0,0.38,0.4,0.24,0.39,0.91,0.6,0.0,0.88
1623,1623,A96,S55,0.13,0.69,0.0,0.25,0.18,0.25,0.22,0.91,0.65,0.38,0.879
1624,1624,A96,S56,0.15,0.94,0.3333333333333333,0.47,0.55,0.53,0.42,0.84,0.76,0.12,0.904
1625,1625,A96,S57,0.18,0.81,0.6666666666666666,0.33,0.28,0.26,0.35,0.96,0.45,0.25,0.888
1626,1626,A96,S58,0.2,0.81,0.0,0.42,0.43,0.32,0.3,0.97,0.42,0.38,0.892
1627,1627,A96,S59,0.22,0.83,0.0,0.45,0.46,0.28,0.34,1.0,0.41,0.0,0.892
1628,1628,A96,S60,0.24,0.89,0.0,0.55,0.55,0.25,0.51,0.84,0.73,0.0,0.88
1629,1629,A96,S61,0.26,0.78,0.3333333333333333,0.25,0.23,0.3,0.33,1.0,0.37,0.12,0.883
1630,1630,A96,S62,0.28,0.83,0.0,0.47,0.36,0.32,0.33,0.93,0.53,0.12,0.894
1631,1631,A96,S63,0.3,0.76,0.0,0.35,0.33,0.24,0.29,0.98,0.45,0.0,0.895
1632,1632,A96,S64,0.32,1.0,0.0,0.57,0.58,0.59,0.48,0.88,0.55,0.5,0.915
1633,1633,A96,S65,0.34,0.7,0.0,0.28,0.24,0.21,0.2,0.88,0.72,0.25,0.883
1634,1634,A96,S66,0.36,0.59,0.3333333333333333,0.12,0.13,0.09,0.09,0.67,0.97,0.12,0.851
1635,1635,A96,S67,0.38,0.63,0.0,0.15,0.17,0.1,0.16,0.85,0.72,0.0,0.887
1636,1636,A96,S68,0.4,0.63,0.0,0.1,0.14,0.18,0.18,0.84,0.76,0.12,0.885
1637,1637,A96,S69,0.42,0.89,0.0,0.5,0.57,0.43,0.31,0.9,0.62,0.5,0.921
1638,1638,A96,S70,0.44,0.91,0.0,0.45,0.35,0.44,0.49,0.95,0.52,0.12,0.903
1639,1639,A96,S71,0.46,0.65,0.0,0.23,0.23,0.21,0.15,0.85,0.73,0.25,0.873
1640,1640,A96,S72,0.48,0.72,0.0,0.17,0.17,0.21,0.35,0.96,0.46,0.0,0.881
1641,1641,A96,S73,0.51,0.72,0.0,0.25,0.25,0.33,0.26,0.97,0.51,0.0,0.892
1642,1642,A96,S74,0.53,0.69,0.0,0.2,0.2,0.21,0.23,0.93,0.55,0.0,0.882
1643,1643,A96,S75,0.55,0.67,0.0,0.2,0.19,0.17,0.21,0.9,0.63,0.0,0.887
1644,1644,A96,S76,0.57,0.8,0.0,0.38,0.38,0.33,0.29,0.97,0.4,0.0,0.904
